id,clave,descripcion,created_at,updated_at
1,I,TUXTLA GUTIÉRREZ,2023-01-12 09:52:02,2023-01-12 09:52:02
2,II,SAN CRISTÓBAL DE LAS CASAS,2023-01-12 09:52:02,2023-01-12 09:52:02
3,III,COMITÁN,2023-01-12 09:52:02,2023-01-12 09:52:02
4,IV,VILLAFLORES,2023-01-12 09:52:02,2023-01-12 09:52:02
5,V,PICHUCALCO,2023-01-12 09:52:02,2023-01-12 09:52:02
6,VI,PALENQUE,2023-01-12 09:52:02,2023-01-12 09:52:02
7,VII,TAPACHULA,2023-01-12 09:52:02,2023-01-12 09:52:02
8,VIII,TONALÁ,2023-01-12 09:52:02,2023-01-12 09:52:02
9,IX,OCOSINGO,2023-01-12 09:52:02,2023-01-12 09:52:02
10,X,MOTOZINTLA,2023-01-12 09:52:02,2023-01-12 09:52:02
